title,keywords,abstract,authors,journal,links,raw_title,mindate,maxdate,BERT_input,topic,pred_val
P27 protects neurons ischemic damage suppressing oxidative stress increasing autophagy hippocampus.,"autophagosome, gerbil, hippocampus, ischemia, oxidative stress, p27kip1","P27kip1 (p27), well-known cell regulator, involved regulation cell death survival. present study, observed effects p27 oxidative stress induced h2o2 ht22 cells transient ischemia gerbils. tat (trans-acting activator transcription) peptide p27 fusion proteins prepared facilitate delivery cells across blood-brain barrier. tat-p27 fusion protein, rather control protein control-p27, delivered intracellularly concentration incubation time-dependent manner showed activity ht22 cells. localization delivered tat-p27 protein also confirmted ht22 cells hippocampus gerbils. addition, optimal concentration (5 μm) tat-p27 determined protect neurons cell death induced 1 mm h2o2. treatment 5 μm tat-p27 significantly ameliorated h2o2-induced dna fragmentation formation reactive oxygen species (ros) ht22 cells. tat-p27 significantly mitigated increase locomotor activity day ischemia neuronal damage hippocampal ca1 region. also reduced ischemia-induced membrane phospholipids ros formation. addition, tat-p27 significantly increased microtubule-associated protein 1a/1b light chain 3a/3b expression ameliorated h2o2 ischemia-induced increases p62 decreases beclin-1 ht22 cells hippocampus. results suggest tat-p27 protects neurons oxidative ischemic damage reducing ros-induced damage facilitating formation autophagosomes hippocampal cells.","Kim W, Kwon HJ, Jung HY, Hahn KR, Yoon YS, Hwang IK, Choi SY, Kim DW,",International journal of molecular sciences,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33327462""]P27 Protects Neurons from Ischemic Damage by Suppressing Oxidative Stress and Increasing Autophagy in the Hippocampus.[/URL]",P27 Protects Neurons from Ischemic Damage by Suppressing Oxidative Stress and Increasing Autophagy in the Hippocampus.,12/14/2020,12/22/2020,"P27 protects neurons ischemic damage suppressing oxidative stress increasing autophagy hippocampus. P27kip1 (p27), well-known cell regulator, involved regulation cell death survival. present study, observed effects p27 oxidative stress induced h2o2 ht22 cells transient ischemia gerbils. tat (trans-acting activator transcription) peptide p27 fusion proteins prepared facilitate delivery cells across blood-brain barrier. tat-p27 fusion protein, rather control protein control-p27, delivered intracellularly concentration incubation time-dependent manner showed activity ht22 cells. localization delivered tat-p27 protein also confirmted ht22 cells hippocampus gerbils. addition, optimal concentration (5 μm) tat-p27 determined protect neurons cell death induced 1 mm h2o2. treatment 5 μm tat-p27 significantly ameliorated h2o2-induced dna fragmentation formation reactive oxygen species (ros) ht22 cells. tat-p27 significantly mitigated increase locomotor activity day ischemia neuronal damage hippocampal ca1 region. also reduced ischemia-induced membrane phospholipids ros formation. addition, tat-p27 significantly increased microtubule-associated protein 1a/1b light chain 3a/3b expression ameliorated h2o2 ischemia-induced increases p62 decreases beclin-1 ht22 cells hippocampus. results suggest tat-p27 protects neurons oxidative ischemic damage reducing ros-induced damage facilitating formation autophagosomes hippocampal cells.",CELLULAR/SUBCELLULAR,61.4% CELLULAR/SUBCELLULAR; 34.4% NEURAL
"Five-day rehabilitation patients undergoing total knee arthroplasty using end-effector gait robot neuromodulation blending tool deafferentation, weight offloading stereotyped movement: interim analysis.",,"Deafferentation weight offloading increase brain spinal motor neuron excitability, respectively. end-effector gait robots (eegrs) blend effects stereotyped movement-induced neuroplasticity. authors aimed evaluate usefulness eegrs postoperative neuro-muscular rehabilitation tool. prospective randomized controlled trial included patients undergone unilateral total knee arthroplasty (tka). patients randomly allocated two groups: one using 200-step rehabilitation program eegr using walker floor (wf) three times day five weekdays. two groups compared electrophysiological biomechanical methods. since enrollments due funding issues, interim analysis performed. twelve patients assigned eegr group eight patients assigned wf group. although muscle volume quadriceps hamstring differ two groups, normalized peak torque operated knee flexors (11.28 ± 16.04 nm/kg) improved eegr group compared operated knee flexors wf group (4.25 ± 14.26 nm/kg) (p = 0.04). normalized compound motor action potentials vastus medialis (vm) biceps femoris (bf) improved eegr group (p < 0.05). however, normalized real-time peak amplitude total, mean area curve vm decreased rehabilitation eegr group (p < 0.05). significant differences found operated non-operated knees eegr group. five-day eegr-assisted rehabilitation induced strengthening knee flexors muscular reactivation bf vm tka, reducing real-time use vm. observation may suggest feasibility technique: eegr modulated neuronal system patients rather training muscles. however, study underpowered, findings interpreted utmost caution.","Koo KI, Hwang CH,",PloS one,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33326434""]Five-day rehabilitation of patients undergoing total knee arthroplasty using an end-effector gait robot as a neuromodulation blending tool for deafferentation, weight offloading and stereotyped movement: Interim analysis.[/URL]","Five-day rehabilitation of patients undergoing total knee arthroplasty using an end-effector gait robot as a neuromodulation blending tool for deafferentation, weight offloading and stereotyped movement: Interim analysis.",12/14/2020,12/22/2020,"Five-day rehabilitation patients undergoing total knee arthroplasty using end-effector gait robot neuromodulation blending tool deafferentation, weight offloading stereotyped movement: interim analysis. Deafferentation weight offloading increase brain spinal motor neuron excitability, respectively. end-effector gait robots (eegrs) blend effects stereotyped movement-induced neuroplasticity. authors aimed evaluate usefulness eegrs postoperative neuro-muscular rehabilitation tool. prospective randomized controlled trial included patients undergone unilateral total knee arthroplasty (tka). patients randomly allocated two groups: one using 200-step rehabilitation program eegr using walker floor (wf) three times day five weekdays. two groups compared electrophysiological biomechanical methods. since enrollments due funding issues, interim analysis performed. twelve patients assigned eegr group eight patients assigned wf group. although muscle volume quadriceps hamstring differ two groups, normalized peak torque operated knee flexors (11.28 ± 16.04 nm/kg) improved eegr group compared operated knee flexors wf group (4.25 ± 14.26 nm/kg) (p = 0.04). normalized compound motor action potentials vastus medialis (vm) biceps femoris (bf) improved eegr group (p < 0.05). however, normalized real-time peak amplitude total, mean area curve vm decreased rehabilitation eegr group (p < 0.05). significant differences found operated non-operated knees eegr group. five-day eegr-assisted rehabilitation induced strengthening knee flexors muscular reactivation bf vm tka, reducing real-time use vm. observation may suggest feasibility technique: eegr modulated neuronal system patients rather training muscles. however, study underpowered, findings interpreted utmost caution.",REHABILITATION,83.9% REHABILITATION; 6.0% PROSTHETICS/ORTHOTICS
Approximating complex musculoskeletal biomechanics using multidimensional autogenerating polynomials.,,"Computational models musculoskeletal system scientific tools used study human movement, quantify effects injury disease, plan surgical interventions, control realistic high-dimensional articulated prosthetic limbs. models sufficiently accurate, may embed complex relationships within sensorimotor system. potential benefits limited challenge implementing fast accurate musculoskeletal computations. typical hand muscle spans 3 degrees freedom (dof), wrapping complex geometrical constraints change moment arms lead complex posture-dependent variation torque generation. here, report method accurately efficiently calculate musculotendon length moment arms across physiological postures forearm muscles actuate hand wrist. then, use model test hypothesis functional similarities muscle actions embedded muscle structure. posture dependent muscle geometry, moment arms lengths modeled muscles captured using autogenerating polynomials expanded optimal selection terms using information measurements. iterative process approximated 33 musculotendon actuators, spanning 6 dofs 18 dof model human arm hand, defined full physiological range motion. using polynomials, entire forearm anatomy could computed <10 μs, far better required real-time performance, low errors moment arms (below 5%) lengths (below 0.4%). moreover, demonstrate number elements autogenerating polynomials increase exponentially increasing muscle complexity muscles; complexity increases linearly instead. dimensionality reduction using polynomial terms alone resulted clusters comprised muscles similar functions, indicating high accuracy approximating models. propose novel method describing musculoskeletal biomechanics might improve applications detailed scalable models describe human movement.","Sobinov A, Boots MT, Gritsenko V, Fisher LE, Gaunt RA, Yakovenko S,",PLoS computational biology,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33326417""]Approximating complex musculoskeletal biomechanics using multidimensional autogenerating polynomials.[/URL]",Approximating complex musculoskeletal biomechanics using multidimensional autogenerating polynomials.,12/14/2020,12/22/2020,"Approximating complex musculoskeletal biomechanics using multidimensional autogenerating polynomials. Computational models musculoskeletal system scientific tools used study human movement, quantify effects injury disease, plan surgical interventions, control realistic high-dimensional articulated prosthetic limbs. models sufficiently accurate, may embed complex relationships within sensorimotor system. potential benefits limited challenge implementing fast accurate musculoskeletal computations. typical hand muscle spans 3 degrees freedom (dof), wrapping complex geometrical constraints change moment arms lead complex posture-dependent variation torque generation. here, report method accurately efficiently calculate musculotendon length moment arms across physiological postures forearm muscles actuate hand wrist. then, use model test hypothesis functional similarities muscle actions embedded muscle structure. posture dependent muscle geometry, moment arms lengths modeled muscles captured using autogenerating polynomials expanded optimal selection terms using information measurements. iterative process approximated 33 musculotendon actuators, spanning 6 dofs 18 dof model human arm hand, defined full physiological range motion. using polynomials, entire forearm anatomy could computed <10 μs, far better required real-time performance, low errors moment arms (below 5%) lengths (below 0.4%). moreover, demonstrate number elements autogenerating polynomials increase exponentially increasing muscle complexity muscles; complexity increases linearly instead. dimensionality reduction using polynomial terms alone resulted clusters comprised muscles similar functions, indicating high accuracy approximating models. propose novel method describing musculoskeletal biomechanics might improve applications detailed scalable models describe human movement.",MODELING,96.2% MODELING; 2.3% METHODS
Point-mass biomechanical model upper extremity lofstrand crutch-assisted gait.,,"Propose point-mass biomechanical model estimate forces moments supported upper extremity lofstrand crutch-assisted gait. model based newtonian classical mechanics angular momentum theorem. system arm-crutch divided three segments: 1) crutch, 2) wrist-elbow, 3) elbow-shoulder. theoretical model experimentally validated disabled person spinal cord injury. two crutch-assisted gait patterns chosen carry experimental validation: two-point reciprocal gait swing-through gait. six position markers (three placed arm three placed crutch) two force sensors (placed crutch) used experiments testing model. results compared distributed-mass model based studies previously published, concluding relative mean difference models less 3% body weight 1% body weight times height forces moments estimated, respectively. advantages using point-mass model summarized: simple formulation, easy understand; require less numerical calculation reducing computational cost; requires less position markers placed subject, increasing therefore comfort subject.","Payo I, Perez-Rizo E, Iglesias A, Sanchez-Sanchez B, Torres-Lacomba M, Gil-Agudo A,",IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33326382""]Point-mass biomechanical model of the upper extremity during Lofstrand crutch-assisted gait.[/URL]",Point-mass biomechanical model of the upper extremity during Lofstrand crutch-assisted gait.,12/14/2020,12/22/2020,"Point-mass biomechanical model upper extremity lofstrand crutch-assisted gait. Propose point-mass biomechanical model estimate forces moments supported upper extremity lofstrand crutch-assisted gait. model based newtonian classical mechanics angular momentum theorem. system arm-crutch divided three segments: 1) crutch, 2) wrist-elbow, 3) elbow-shoulder. theoretical model experimentally validated disabled person spinal cord injury. two crutch-assisted gait patterns chosen carry experimental validation: two-point reciprocal gait swing-through gait. six position markers (three placed arm three placed crutch) two force sensors (placed crutch) used experiments testing model. results compared distributed-mass model based studies previously published, concluding relative mean difference models less 3% body weight 1% body weight times height forces moments estimated, respectively. advantages using point-mass model summarized: simple formulation, easy understand; require less numerical calculation reducing computational cost; requires less position markers placed subject, increasing therefore comfort subject.",MODELING,64.1% MODELING; 30.2% GAIT/LOCOMOTION
Long-lasting changes muscle activation step cycle variables induced repetitive sensory stimulation discrete areas foot sole walking.,"adaptation, bipedal walking, cutaneous afferents, human, locomotor network","Examined whether repetitive electrical stimulation discrete foot sole regions phase-locked step cycle modulates activity patterns ankle muscles induces neuronal adaptation human walking. non-noxious repetitive foot sole stimulation (stim; 67 pulses @333 hz) given medial forefoot (f-m) heel (hl) regions (1) stance-to-swing transition, (2) swing-to-stance transition, (3) mid-stance, every step cycle 10 min. stance, swing, durations prolonged f-m stim delivered stance-to-swing transition, changes remained 20-30 min intervention. electromyographic (emg) burst durations amplitudes ankle extensors also prolonged persisted 20 min intervention. interestingly, stim hl ineffective inducing modulation, suggesting stimulation location-specific adaptation. contrast, stim hl (but f-m), swing-to-stance phase transition, shortened step cycle premature termination swing. furthermore, onset emg bursts ankle extensors appeared earlier control condition. stim delivered mid-stance phase ineffective modulating step cycle, highlighting phase-dependent adaptation. effects absent stim applied mimicking static postures walking phase standing. findings suggest combination walking-related neuronal activity repetitive sensory inputs foot generate short-term adaptation phase-dependent localized site stim.","Nakajima T, Suzuki S, Zehr EP, Komiyama T,",Journal of neurophysiology,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33326346""]Long-lasting changes in muscle activation and step cycle variables induced by repetitive sensory stimulation to discrete areas of the foot sole during walking.[/URL]",Long-lasting changes in muscle activation and step cycle variables induced by repetitive sensory stimulation to discrete areas of the foot sole during walking.,12/14/2020,12/22/2020,"Long-lasting changes muscle activation step cycle variables induced repetitive sensory stimulation discrete areas foot sole walking. Examined whether repetitive electrical stimulation discrete foot sole regions phase-locked step cycle modulates activity patterns ankle muscles induces neuronal adaptation human walking. non-noxious repetitive foot sole stimulation (stim; 67 pulses @333 hz) given medial forefoot (f-m) heel (hl) regions (1) stance-to-swing transition, (2) swing-to-stance transition, (3) mid-stance, every step cycle 10 min. stance, swing, durations prolonged f-m stim delivered stance-to-swing transition, changes remained 20-30 min intervention. electromyographic (emg) burst durations amplitudes ankle extensors also prolonged persisted 20 min intervention. interestingly, stim hl ineffective inducing modulation, suggesting stimulation location-specific adaptation. contrast, stim hl (but f-m), swing-to-stance phase transition, shortened step cycle premature termination swing. furthermore, onset emg bursts ankle extensors appeared earlier control condition. stim delivered mid-stance phase ineffective modulating step cycle, highlighting phase-dependent adaptation. effects absent stim applied mimicking static postures walking phase standing. findings suggest combination walking-related neuronal activity repetitive sensory inputs foot generate short-term adaptation phase-dependent localized site stim.",GAIT/LOCOMOTION,93.1% GAIT/LOCOMOTION; 2.8% HAND/FINGER/FOOT/TOE
Evaluation corvisst biomechanical parameters anterior segment optical coherence tomography diagnosing forme fruste keratoconus.,"scheimpflug-based tonometer, anterior segment optical coherence tomography, corneal biomechanics, forme fruste keratoconus",Investigate utility biomechanical property measurements using scheimpflug-based tonometer (sbt) and/or anterior segment optical coherence tomography (as-oct) diagnosing forme fruste keratoconus (ffk).,"Shiga S, Kojima T, Nishida T, Nakamura T, Ichikawa K,",Acta ophthalmologica,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33326180""]Evaluation of CorvisST biomechanical parameters and anterior segment optical coherence tomography for diagnosing forme fruste keratoconus.[/URL]",Evaluation of CorvisST biomechanical parameters and anterior segment optical coherence tomography for diagnosing forme fruste keratoconus.,12/14/2020,12/22/2020,Evaluation corvisst biomechanical parameters anterior segment optical coherence tomography diagnosing forme fruste keratoconus. Investigate utility biomechanical property measurements using scheimpflug-based tonometer (sbt) and/or anterior segment optical coherence tomography (as-oct) diagnosing forme fruste keratoconus (ffk).,VISUAL/VESTIBULAR,88.5% VISUAL/VESTIBULAR; 6.6% TISSUE/BIOMATERIAL
Magttice: lattice model hard-magnetic soft materials.,,"Magnetic actuation emerged powerful versatile mechanism diverse applications, ranging soft robotics, biomedical devices functional metamaterials. highly interdisciplinary research calls easy use efficient modeling/simulation platform leveraged researchers different backgrounds. present lattice model hard-magnetic soft materials partitioning elastic deformation energy lattice stretching volumetric change, so-called 'magttice'. magnetic actuation realized prescribed nodal forces magttice. implement model framework large-scale atomic/molecular massively parallel simulator (lammps) highly efficient parallel simulations. magttice first validated examining deformation ferromagnetic beam structures, applied various smart structures, origami plates magnetic robots. investigating static deformation dynamic motion soft robot, swimming magnetic robot water, like jellyfish's locomotion, studied coupling magttice lattice boltzmann method (lbm). examples indicate proposed magttice model enable efficient mechanical modeling simulation rational design magnetically driven smart structures.","Ye H, Li Y, Zhang T,",Soft matter,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33325972""]Magttice: a lattice model for hard-magnetic soft materials.[/URL]",Magttice: a lattice model for hard-magnetic soft materials.,12/14/2020,12/22/2020,"Magttice: lattice model hard-magnetic soft materials. Magnetic actuation emerged powerful versatile mechanism diverse applications, ranging soft robotics, biomedical devices functional metamaterials. highly interdisciplinary research calls easy use efficient modeling/simulation platform leveraged researchers different backgrounds. present lattice model hard-magnetic soft materials partitioning elastic deformation energy lattice stretching volumetric change, so-called 'magttice'. magnetic actuation realized prescribed nodal forces magttice. implement model framework large-scale atomic/molecular massively parallel simulator (lammps) highly efficient parallel simulations. magttice first validated examining deformation ferromagnetic beam structures, applied various smart structures, origami plates magnetic robots. investigating static deformation dynamic motion soft robot, swimming magnetic robot water, like jellyfish's locomotion, studied coupling magttice lattice boltzmann method (lbm). examples indicate proposed magttice model enable efficient mechanical modeling simulation rational design magnetically driven smart structures.",MODELING,73.0% MODELING; 9.0% TISSUE/BIOMATERIAL
High-fidelity musculoskeletal modeling reveals motor planning contribution speed-accuracy tradeoff.,"human, neuroscience","Long-standing challenge motor neuroscience understand relationship movement speed accuracy, known speed-accuracy tradeoff. here, introduce biomechanically realistic computational model three-dimensional upper extremity movements reproduces well-known features reaching movements. model revealed speed-accuracy tradeoff, described fitts' law, emerges even without presence motor noise, commonly believed underlie speed-accuracy tradeoff. next, analyzed motor cortical neural activity monkeys reaching targets different sizes. found contribution preparatory neural activity movement duration variability greater smaller targets larger targets, movements smaller targets exhibit less variability population-level preparatory activity, greater movement duration variability. results propose new theory underlying speed-accuracy tradeoff: fitts' law emerges greater task demands constraining optimization landscape fashion reduces number 'good' control solutions (i.e., faster reaches). thus, contrary current beliefs, speed-accuracy tradeoff could consequence motor planning variability exclusively signal-dependent noise.","Al Borno M, Vyas S, Shenoy KV, Delp SL,",eLife,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33325369""]High-fidelity musculoskeletal modeling reveals a motor planning contribution to the speed-accuracy tradeoff.[/URL]",High-fidelity musculoskeletal modeling reveals a motor planning contribution to the speed-accuracy tradeoff.,12/14/2020,12/22/2020,"High-fidelity musculoskeletal modeling reveals motor planning contribution speed-accuracy tradeoff. Long-standing challenge motor neuroscience understand relationship movement speed accuracy, known speed-accuracy tradeoff. here, introduce biomechanically realistic computational model three-dimensional upper extremity movements reproduces well-known features reaching movements. model revealed speed-accuracy tradeoff, described fitts' law, emerges even without presence motor noise, commonly believed underlie speed-accuracy tradeoff. next, analyzed motor cortical neural activity monkeys reaching targets different sizes. found contribution preparatory neural activity movement duration variability greater smaller targets larger targets, movements smaller targets exhibit less variability population-level preparatory activity, greater movement duration variability. results propose new theory underlying speed-accuracy tradeoff: fitts' law emerges greater task demands constraining optimization landscape fashion reduces number 'good' control solutions (i.e., faster reaches). thus, contrary current beliefs, speed-accuracy tradeoff could consequence motor planning variability exclusively signal-dependent noise.",MODELING,67.6% MODELING; 26.4% NEURAL
Biomechanical properties novel locking compression plate stabilize oblique tibial osteotomies buffaloes.,,Quantitation mechanical properties novel locking compression plate (lcp) bovine tibia.,"Ahmad RA, Aithal HP, Amarpal, Kinjavdekar P, Gope PC, Madhu DN,",Veterinary surgery : VS,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33325099""]Biomechanical properties of a novel locking compression plate to stabilize oblique tibial osteotomies in buffaloes.[/URL]",Biomechanical properties of a novel locking compression plate to stabilize oblique tibial osteotomies in buffaloes.,12/14/2020,12/22/2020,Biomechanical properties novel locking compression plate stabilize oblique tibial osteotomies buffaloes. Quantitation mechanical properties novel locking compression plate (lcp) bovine tibia.,VETERINARY/AGRICULTURAL,99.1% VETERINARY/AGRICULTURAL; 0.5% ORTHOPAEDICS/SURGERY
2020 view tension-based cortical morphogenesis.,"biomechanics, cerebellum, cerebral cortex, folding, gyrification","Mechanical tension along length axons, dendrites, glial processes proposed major contributor morphogenesis throughout nervous system d. c. van essen, nature 385, 313-318 (1997). tension-based morphogenesis (tbm) conceptually simple general hypothesis based physical forces help shape living things. moreover, axon dendrite strive shorten preserving connectivity, aggregate wiring length would remain low. tbm explain key aspects cerebral cerebellar cortices remain thin, expand surface area, acquire distinctive folds. article reviews progress since 1997 relevant tbm candidate morphogenetic mechanisms. cellular level, studies diverse cell types vitro vivo demonstrate tension plays major role many developmental events. tissue level, propose differential expansion sandwich plus (des+) revision original tbm model cerebral cortical expansion folding. invokes tangential tension ""sulcal zipping"" forces along outer cortical margin well tension white matter core, together competing radially biased tension cortical gray matter. evidence des+ model discussed, experiments proposed address key tenets des+ model. cerebellar cortex, cerebellar multilayer sandwich (cms) model proposed account many distinctive features, including unique, accordion-like folding adult, experiments proposed address specific tenets.","Van Essen DC,",Proceedings of the National Academy of Sciences of the United States of America,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33323481""]A 2020 view of tension-based cortical morphogenesis.[/URL]",A 2020 view of tension-based cortical morphogenesis.,12/14/2020,12/22/2020,"2020 view tension-based cortical morphogenesis. Mechanical tension along length axons, dendrites, glial processes proposed major contributor morphogenesis throughout nervous system d. c. van essen, nature 385, 313-318 (1997). tension-based morphogenesis (tbm) conceptually simple general hypothesis based physical forces help shape living things. moreover, axon dendrite strive shorten preserving connectivity, aggregate wiring length would remain low. tbm explain key aspects cerebral cerebellar cortices remain thin, expand surface area, acquire distinctive folds. article reviews progress since 1997 relevant tbm candidate morphogenetic mechanisms. cellular level, studies diverse cell types vitro vivo demonstrate tension plays major role many developmental events. tissue level, propose differential expansion sandwich plus (des+) revision original tbm model cerebral cortical expansion folding. invokes tangential tension ""sulcal zipping"" forces along outer cortical margin well tension white matter core, together competing radially biased tension cortical gray matter. evidence des+ model discussed, experiments proposed address key tenets des+ model. cerebellar cortex, cerebellar multilayer sandwich (cms) model proposed account many distinctive features, including unique, accordion-like folding adult, experiments proposed address specific tenets.",NEURAL,72.5% NEURAL; 15.9% CELLULAR/SUBCELLULAR
"Lameness fattening pigs - mycoplasma hyosynoviae, osteochondropathy reduced dietary phosphorus level three influencing factors: case report.","locomotor disorder, mineral supply, mycoplasma hyosynoviae, nutrition, swine","Multiple diagnostic procedures, results interpretation case severe lameness fattening pigs described. shown selected diagnostic steps lead identification various risk factors disease development affected herd. one focus case report prioritization diagnostic steps verify impact different conditions, finally led clinical disorder. assessing sufficient dietary phosphorus (p) supply impact disease development proved difficult. diagnostic approach based estimated calculation phosphorus intake presented detail.","Wegner B, Tenhündfeld J, Vogels J, Beumer M, Kamphues J, Hansmann F, Rieger H, Grosse Beilage E, Hennig-Pauka I,",Porcine health management,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33323132""]Lameness in fattening pigs - Mycoplasma hyosynoviae, osteochondropathy and reduced dietary phosphorus level as three influencing factors: a case report.[/URL]","Lameness in fattening pigs - Mycoplasma hyosynoviae, osteochondropathy and reduced dietary phosphorus level as three influencing factors: a case report.",12/14/2020,12/22/2020,"Lameness fattening pigs - mycoplasma hyosynoviae, osteochondropathy reduced dietary phosphorus level three influencing factors: case report. Multiple diagnostic procedures, results interpretation case severe lameness fattening pigs described. shown selected diagnostic steps lead identification various risk factors disease development affected herd. one focus case report prioritization diagnostic steps verify impact different conditions, finally led clinical disorder. assessing sufficient dietary phosphorus (p) supply impact disease development proved difficult. diagnostic approach based estimated calculation phosphorus intake presented detail.",VETERINARY/AGRICULTURAL,99.8% VETERINARY/AGRICULTURAL; 0.1% COMPARATIVE
Timing precision fly flight control: integrating mechanosensory input muscle physiology.,"drosophila, haltere, insect flight, muscle physiology, timing","Animals rapidly collect act incoming information navigate complex environments, making precise timing sensory feedback critical context neural circuit function. moreover, timing sensory input determines biomechanical properties muscles undergo cyclic length changes, locomotion. issues come head case flying insects, animals execute steering manoeuvres timescales approaching upper limits performance neuromechanical systems. among insects, flies stand especially adept given ability execute manoeuvres require sub-millisecond control steering muscles. although vision critical, review role rapid, wingbeat-synchronous mechanosensory feedback wings structures unique flies, halteres. visual system descending interneurons brain employ spike rate coding scheme relay commands wing steering system. contrast, mechanosensory feedback operates faster timescales language motor neurons, i.e. spike timing, allowing wing haltere input dynamically structure output wing steering system. although halteres long known provide essential input wing steering system gyroscopic sensors, recent evidence suggests feedback vestigial hindwings active control. thus, flies may accomplish manoeuvres conserved hindwing circuit, regulating firing phase-and thus, mechanical power output-of wing steering muscles.","Dickerson BH,",Proceedings. Biological sciences,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33323088""]Timing precision in fly flight control: integrating mechanosensory input with muscle physiology.[/URL]",Timing precision in fly flight control: integrating mechanosensory input with muscle physiology.,12/14/2020,12/22/2020,"Timing precision fly flight control: integrating mechanosensory input muscle physiology. Animals rapidly collect act incoming information navigate complex environments, making precise timing sensory feedback critical context neural circuit function. moreover, timing sensory input determines biomechanical properties muscles undergo cyclic length changes, locomotion. issues come head case flying insects, animals execute steering manoeuvres timescales approaching upper limits performance neuromechanical systems. among insects, flies stand especially adept given ability execute manoeuvres require sub-millisecond control steering muscles. although vision critical, review role rapid, wingbeat-synchronous mechanosensory feedback wings structures unique flies, halteres. visual system descending interneurons brain employ spike rate coding scheme relay commands wing steering system. contrast, mechanosensory feedback operates faster timescales language motor neurons, i.e. spike timing, allowing wing haltere input dynamically structure output wing steering system. although halteres long known provide essential input wing steering system gyroscopic sensors, recent evidence suggests feedback vestigial hindwings active control. thus, flies may accomplish manoeuvres conserved hindwing circuit, regulating firing phase-and thus, mechanical power output-of wing steering muscles.",_REMOVE_,38.8% COMPARATIVE; 33.4% NEURAL
Biomechanics optic nerve head peripapillary sclera mouse model glaucoma.,"digital volume correlation, glaucoma, mechanical testing, mouse, optic nerve head, peripapillary sclera","Deformation mouse astrocytic lamina (al) adjacent peripapillary sclera (pps) measured response elevated intraocular pressure. subjected explanted mouse eyes inflation testing, comparing control eyes 3 days 6 weeks induction ocular hypertension (oht) via ocular microbead injection. laser scanning microscopy used second harmonic generation image collagenous pps two-photon fluorescence image transgenic fluorescent astrocytes al. digital volume correlation applied calculate strains pps al. specimen-averaged strains biaxial al pps, greater strain overall x- y-direction al greater strain θ- r-direction pps. strains increased 3-day oht, greater strain overall 3-day al control al, greater circumferential strain 3-day pps control pps. 6-week oht eyes, al pps strains similar overall controls. experimental glaucoma model demonstrated dynamic change mechanical behaviour al pps time site neuronal injury remodelling glaucoma.","Korneva A, Kimball EC, Jefferys JL, Quigley HA, Nguyen TD,","Journal of the Royal Society, Interface","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/33323053""]Biomechanics of the optic nerve head and peripapillary sclera in a mouse model of glaucoma.[/URL]",Biomechanics of the optic nerve head and peripapillary sclera in a mouse model of glaucoma.,12/14/2020,12/22/2020,"Biomechanics optic nerve head peripapillary sclera mouse model glaucoma. Deformation mouse astrocytic lamina (al) adjacent peripapillary sclera (pps) measured response elevated intraocular pressure. subjected explanted mouse eyes inflation testing, comparing control eyes 3 days 6 weeks induction ocular hypertension (oht) via ocular microbead injection. laser scanning microscopy used second harmonic generation image collagenous pps two-photon fluorescence image transgenic fluorescent astrocytes al. digital volume correlation applied calculate strains pps al. specimen-averaged strains biaxial al pps, greater strain overall x- y-direction al greater strain θ- r-direction pps. strains increased 3-day oht, greater strain overall 3-day al control al, greater circumferential strain 3-day pps control pps. 6-week oht eyes, al pps strains similar overall controls. experimental glaucoma model demonstrated dynamic change mechanical behaviour al pps time site neuronal injury remodelling glaucoma.",VISUAL/VESTIBULAR,96.5% VISUAL/VESTIBULAR; 3.0% TISSUE/BIOMATERIAL
